url,image,name,price
//tka.tiki.vn/pixel/pixel?data=aUzXPgbUV8YWs5xH_jAun0_NMq30zd7pmONjf1EgjBUi2ug9n8I0uHtdWYr9Al68VFfyRqvH20_Kp4CxfgpxP7e7XpBwLiuuneqCINpUYWcg5znZoZHPBEbyj4UEoIYZgxuPLj2lwUaKVrXhmdL4k36qHZxMiDoLycrvsPwx3DrD0t_zJTu8GS3myvVdwrjsEePQpi7CKkqVpTCRqg3jTa9gV8nZkTZiKDuB9DqTkH3o2BjexjTMW0YS-3JVgMwRK1oV24g8cpJ0ABniXtDiXLyEdtUX9oirHGrNB1Z1rJKJCml-EhtZOSTdk6gxvuB9Xq9TsUs_DJzhyhvPmXGreQTkKOP6YHAmHljv4uBSRvG8EUga6RBn6xd-qzWhwt5hXXUAgK0oF5K15HULBen4SshU5zFz9DI70aSj91YFhBGdt0ME-zzqd9tHxoz1IdDD63iCn5Z2hjDtJIp_y2xcpSWXPlGNN9jeqSbtWKZnY3u1UAmFAZLxMYneBQKVQQY42GQQlKZGoR7oVx_I7K12iEwWsXfh_3Jf5j6vftQ_qOMqrFPtVRK9BGfQ58cDJXW0AsqR6-PHshLR-8ElEqgJ9iPO0xxiZP3sFFgmnZDMYjCy5M1SDjE0DMGg4vhIHISYM8s69nhXmkJkb2rw0CI4iQTtk3L_v9KAYDxVT5tMTTLnbh3mFuDhwM7PY_zX36vZjBnhAkJNLlANv-oKrXTQFnTQYFu12jpnVj4ifOHLv394-UMveBHRQ4qSiYycnR8DNYksNsD7zauHRhKM1hWRZZochttZyvW2J8yAlaDYdj6LakpNXU7vizXADPcuNXrZ3gg0Sr5wj-0MHnAzzAEOLjqmSm9iONPBcHJDYgqZkERfHYLWV97inNGhkmDuyvvX9bzN6kYAWfBJ1jSkAbBmjo73UsaCG1HFjaxHOSZwXrkL23ri-8o0xnEqtj9dUtjKG4VaPq739v62AZSE9a7StgqC3yUr8JJOx7KbyY7nw59xrubI7Z1m_RPkrFM&reqid=xFlnIM5gMw8B5rp5&type=CLICK&pos=1,https://salt.tikicdn.com/cache/280x280/ts/product/9b/f7/5c/9c1579457396d4bb000f46be8cf27611.jpg,Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng,7.890.000₫
//tka.tiki.vn/pixel/pixel?data=HY-Aq1so3u42bZnpjuBlzDHys38pPnlHFV4H2r0vGXP-kg4LczlMcZEzNG5GQafr9oe_uc8pIY0hABKOS_gJO_Czq_SoFwUNYyP05lWHJmr53I3jIcmZWBjKURtBEYUrdUbYiEyP5yeioEs_Psto_3D1L7ueEn4ZSaPkG3ueEJYpmw2GGC9VnD8ETe-lEijqBOb5mttLXL-DDKZIKQJDklvHPtWI2hxnhHQYllWtd9CBKkTNjmD3SFRh_ziVoQkTzomtdZNuSvEDVLBdRZMubq0_mh2gfcooPj59Ljw_s-brsA5u-2PXnWo3NIW4PIYddZp7GYp_UDcuO6uglz58xQHQZYET5Lj51HxhsAnheF28voopYk1MmyeE6PfaE-64PQa9R8ne0ABZr6Lv0KeXi2Gi_EiLTDptDPtxv0QUUq3XKr1pj1P083N8fbyrQ_huONnB1D76lF0ZryN-_Ckx61ufabUjoFxiZXOny7IFo--rW7AdwZc2pIJFbnQFlG1JKRC7Es_OduszY1F0jpEY6wXnH2CodxMXdswCp7Vj5kNwi3c5Q5jYkbl4SV04xtVC9N8qlgLbROzCtrCPQScokCPmhWs9senroS2GKCxFB2EXGn2NNMJdTjf6eP09ShG4RqSiorBRdWZ-K5A3xIJZ-HF7EMXKU4ivheu5u_BCQ-7aKVQDfAWbTX45FkOYkJoQ7eusEa2wrIX0VHX4GR6IEFWhJ9sK3r9jTMrCuevdYvpQAgc5q5k7LgdJiwYyfWzqu99sS31O3xOpy-TUhNGgZMjhZRh5vfOzYIxcat8gGi-19_PZ4O33AOPjjYMiXgjl-wtyoJaPom4Gk466iElkuxyKi-Dha-U6TxJm_Ky01Y0TuqqxLCsTA8X1r_P6dNXbKJjziS1OObFZZRCBKERdPS7pc2ywWbMJPCmPF9z5ftBvlgwfacaFyYVte4WfJ0-8YP-ZTt7aC0OwxY4F0qdcZC1pf8E&reqid=xFlnIM5gMw8B5rp5&type=CLICK&pos=2,https://salt.tikicdn.com/cache/280x280/ts/product/dd/43/22/092e796c9ad3bebbd0751cd281865494.jpg,Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng chính hãng,3.970.000₫
//tka.tiki.vn/pixel/pixel?data=oETA3JT7AcTp64STfmCrXBCBsVGMBBaKpd7g7Js9UhbTjteELcf6ZGI4vj6yEgCLM73CYjzeD3gL7QfMMtykHg7R_5PmrtOFAnAVtFE_beihRr35b92cCPuGMEisryB1dJRcIWRu7CEFe4HD1PHU0Dr23QqJ5ST0P2jP9P-kMqZWhQf3LeX5K-I68UnE8V0XqUu4jG-clFxaKrDQ_ByO-q816iy2T0mCNQFtbbiprtzeewwF38qiCsRHAbuOpnrloaiGQxJEBuhp5soWePWmeraMU22Tj7N0Yy0Ds7hpVveLQLNrR5VVSIi47_-K9x1vptjb93X6v0B4D6B5p-atj-hX2MVMmG0etUb08FmQS0QrPsqKHjiNb5RVfZFDUh-yapqdZfPCoWCuxPefACSDXC7Q_CpAEe_IbaUlIb_qrfGpa3qnzhA8jtBt3NFgCt9nsWjhTc79oSWfTv3KuL1R7LU2n18QQoQvG1NXQW06U9EHOVW7n-ZRyuOqdIqxUv7UzVSmFviexoa3ks3eS9qdtvxiXBPQi45FoeJ8j97hv9KZp0MAi6tUFOVFEqBvB6g_2EeAPx2hwFUHOKHhV1PkKT9ZmmvZ4DDyUqNjuerFUNzOmcVWpwnGb3Ore6wnv7msHDb8yJiERJPXtbh8PPYQsPghcl6kfF5KN1Vskog6SunyeVmDFzyh6sDRCkxUHpef1lkAoewJf-sldQujUlMWabWjxGOIj0y6jrBGTXbHtg-Upj7y45R5WiI3xX8JLt1KzhxP4zicoOjLZOXC4Uch4vYmOaElJIG22HkZdNmWfdZ7VYMPJx6TT4Fel9YVkivaAGGFywUOtHCWf4jqqtD8WqgR_4xCLoPYeIjufMKHuVF8j2AwAIRLSwppx151LoAzgZ6Ji1B7DSz5EozXFdAX3mcJEibonqBgiA530ceI6KJB2Qx07TDlfv7OIKSqPXon1SPuKFmSCtKRUEgyVtLhbJLCvMu7N1QNn8CzwetIyeNBMYmlKFXH4Kzpuy-C6tOc9bHQNw&reqid=xFlnIM5gMw8B5rp5&type=CLICK&pos=3,https://salt.tikicdn.com/cache/280x280/ts/product/20/e9/05/8652cfd9a8d3ff4bfb5293f1ae0b6707.jpg,Điện thoại Samsung Galaxy A14  (4GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,3.250.000₫
//tka.tiki.vn/pixel/pixel?data=He9IDnKIRRwMxde1Rsn7x2c2_tPiwinp0juSFtGGnKy5-b2kMj3FXBPJ9HBzyZlbylI7_MEdRnXS29kTQFUcD_EyHaetI4g4IscjdUBlQiN9cB0S9fpa9Q_M7wUgskXLV5EmnybLCKQQAproLCpnjALPPs6jbLArdlOZbJaUCg5m4ZX3UJGJ_38Hx_LZnbmv8I_CehfTAPON8znRC2BiY7eRZM9GW4PJQPBsOKFkQRCAsqKsEjguQ6iHkq33pEG5iFbEi3nopcJTbXaIcedUhyLdzCrLCTS0mXnqt5JtxCY8o5RkdRLaE4luI_S-rqIhTmghohWXoRaYDoxqmpyhKKtJEPXz_mcfWiAxJ1O1z0tcHUzXDxZUsEBwao7xvcQ87IOh5Ldt63obu3KSEdQeLSK3GqQ5fyka4hgxKrhw70su6yDj8GbORXQqCIo2B2Mes2GGcXvxmAl3l4sAJMbwdlRC22F8lUwPxldxzwRAsBJ39-BKz6IBEvXG0-zA4XyqTnq_wiVxsuR89Wcny5GgOVv2jzuZJROZOmxQ7QBBrrOFrYEA8I6y9cZ2Ppzy3oTGJMJpM-jFopBqI08s9RohRFYpa6uFHfEB4_fD0tNgXDfgPiU2q_idbxMu77L0dh77dwyGa9tjRxu2IcQOCjuaaQmCyn9uUW4o6_GtC9ZyQCrlUeWwdKayqIB054G0AOK4-Sx3PCSUvqGIy-BqQl8BzP1INqQszBlPTo1gyljlqR7SFc-4ikvcF5nC6Jj7vOgcpaRMR-2vvK2qLUDkU8qw25X0iN_pLKgnXWmRGLKbEj_k-VDJ52Wt6-tMcATtPZ1Te7IUybD_d312gq7v6jUu-xDOPQDNA77qAPzFD_9-vLkXGP14Q6SqRgeBGJM0vsORX6xHXLElO2pj9t901jMHcTbFOzX52op73TZbZdGyAIn0BX6rB0lYUO5MBXCCC8MqpK617mtE8HdqwAsNoW-PCBx7SnlncSntsSMg0sBUdPNRsWg9&reqid=xFlnIM5gMw8B5rp5&type=CLICK&pos=4,https://salt.tikicdn.com/cache/280x280/ts/product/34/23/1a/78cfdca4493bd7f75bd0210b14a0922d.jpg,Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,6.750.000₫
//tka.tiki.vn/pixel/pixel?data=mJIxfgkK43HsCTtnFDgzi6Lyhl0tmRV8gkxTxHQ3cHtlBnNOqS2ikTm9F7X-Pkt9YEZLb8oNX_wLroH1BP0MTPNmiCaw4gyq1FUG2nrxANHms3RoOQR9Ij8djTR9dnI-CunUZrmc6p6j7SJ39koqG7LIaKpi9hHqsAGTqocayBOcp388UIMY297fJGxCOITj5XZH3MED0ROjfKAS2sQ_vNsWhEWZUpoY4FuWDKApw8T_PXFcVsFbjxEmKPgJ3chEUm6OxIRlm1-TbEHK3PRwmvRAh8in0oLJh4NZu5lqxERbFjHAFaRAL4Dxg7cyd_UUbpJ_BN-VdD6TewRyGWK5dQ7Gw86EhZdCGOa0XylDsGuaiczyjgbZzWSlCfugdZ_ILvAkiuvYU_LJt1PAmy-11H7odyieeOgGzhkxW0LNXiZq3_cGyvSp7_UZVi5G4908hMZZ7f8TRj-j_XyhWS-m_jXO2fhVfinlITfzcnNBso4hx80f6onYb0j25Vs6tec0cPBrpl3aiXUSj8Y-P987xQr-Wo1CRsN_pZPwY0knI6YCAmfiVp6F5G2SoEg1BiSf786WRbeOp7aCGqMU_x27IABawh2kyG8r4WbJwlv5ifVRGcCed0iivoMprfO3-kT_ExFN38-P8xKLirhdgAPi7VOzWnqH9WiXGykmBIuLbW6kl00IFS9n06YM0xtF1j4gqUn2eHPJmETJ6pxgpwLDF4SMUscyLgvm2WMpcJgeUAyhS3_YcJNxa3PmqOT52N8qrbPJZM_eFhh52NbAgex5HGnJch0L-UilGR1rjvvRKwnTGv-eSnZJmzstvwmt6ehdjqaRuFBKGqBLWcz-6XqEB9LNQYMz9W-ccRazXN4aY-tx8wi8jDkESIcxj5iCFs1m_e58fkQIKbTsyZPZgm2Ro9sOiSPUhJl5V8xkArQG5NvFjJRR6EEwb8WUX6r9FYx7sW3meVcQL0PwtPzTV3h3eE9_pnhxiWAzW_q5PRfgetJ_A-1LS1JHik6QaoqAGOY&reqid=xFlnIM5gMw8B5rp5&type=CLICK&pos=5,https://salt.tikicdn.com/cache/280x280/ts/product/70/97/a7/de2c3d0b71dee252947dce83e6a925ec.jpg,Điện thoại Samsung Galaxy A23 (4GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,5.690.000₫
/dien-thoai-oppo-a54-4gb-128gb-hang-chinh-hang-p91612670.html?spid=91612672,https://salt.tikicdn.com/cache/280x280/ts/product/e8/94/8e/1b1bccb7fe7b8189611d67c6f757a9e1.jpg,Điện Thoại Oppo A54 (4GB/128GB),3.250.000₫
/dien-thoai-oppo-a57-4gb-128gb-hang-chinh-hang-p205750556.html?spid=263117365,https://salt.tikicdn.com/cache/280x280/ts/product/ab/60/db/281c3074dd8d6b13fe1b66d855c5f526.jpg,Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,3.850.000₫
/dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p57809866.html?spid=57809868,https://salt.tikicdn.com/cache/280x280/ts/product/7a/28/63/98543a969b0fcc29524fe130355a4d7d.jpg,Điện thoại Xiaomi Redmi 9A (2GB/32GB),1.790.000₫
/apple-ipad-10-2-inch-9th-gen-wi-fi-2021-p183330021.html?spid=124939771,https://salt.tikicdn.com/cache/280x280/ts/product/44/84/b5/99190012171edee77674793a61c5a7e8.png,Apple iPad 10.2-inch (9th Gen) Wi-Fi 2021,6.990.000₫
/dien-thoai-samsung-galaxy-s20-fe-8gb-256gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p175845367.html?spid=175845369,https://salt.tikicdn.com/cache/280x280/ts/product/14/6b/10/e34b9bf5aaea1b7eb8af9cbb5467444c.jpg,Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,6.990.000₫
