url,image,name,price,odo
/mua-ban-oto-thanh-pho-tan-an-long-an/108769473.htm#px=SR-stickyad-[PO-1][PL-top],https://cdn.chotot.com/n6tabWHfdabMNCXMoLCCi6AZ0GN1A592xl-WOiQM_Bg/preset:listing/plain/f51c4242c134f70de5d5026893a9ea71-2837125047473045257.jpg,cáº§n ra e taxi hoÃ n lÆ°Æ¡ng,85.000.000 Ä‘,2006 - Sá»‘ sÃ n - 300000 km
/mua-ban-oto-quan-long-bien-ha-noi/106203556.htm#px=SR-stickyad-[PO-2][PL-top],https://cdn.chotot.com/adZoK46vm-brYWE4wd0grAEiEqn-tLupBIEf5hnehQQ/preset:listing/plain/44a1cff51a3cf6ecd692653266914a9e-2824463696249426464.jpg,CAMRY LE nháº­p Má»¹ báº£n full 7v hÆ¡n 400tr,470.000.000 Ä‘,2009 - Tá»± Ä‘á»™ng - 72000 km
/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/108942329.htm#px=SR-stickyad-[PO-3][PL-top],https://cdn.chotot.com/tf0h_7iXxz7gAtpVwMnX-x89SevIdYPfuqoCeI3wlnw/preset:listing/plain/bf6e8abe621c9f5f0ec0ce50375d6a99-2838009616536581196.jpg,Fortuner 2021 MÃ¡y Dáº§u - Sá»‘ Tá»± Äá»™ng - Biá»ƒn SG Ä‘áº¹ppp,962.000.000 Ä‘,2021 - Tá»± Ä‘á»™ng - 25000 km
/mua-ban-oto-thanh-pho-thuan-an-binh-duong/108730337.htm#px=SR-stickyad-[PO-4][PL-top],https://cdn.chotot.com/Edux5ox6BYKlESAQb2pu4dJilQv0Uk_Cfxw2p-n5O_U/preset:listing/plain/51ef2b4caea7a5162a5399c3b398f5f3-2836965545899959638.jpg,MUA Ã”TÃ”-XE Táº¢I-DU Lá»ŠCH HÆ¯ CÅ¨ NÃT CHÃY NGáº¬P Táº¬N NÆ I,168.000.000 Ä‘,2022 - Sá»‘ sÃ n - 12345 km
/mua-ban-oto-quan-tay-ho-ha-noi/108914049.htm#px=SR-stickyad-[PO-5][PL-top],,bÃ¡n biá»ƒn táº·ng xe vios 2015E biá»ƒn vip,288.800.000 Ä‘,2015 - Sá»‘ sÃ n - 150000 km
/mua-ban-oto-huyen-cu-chi-tp-ho-chi-minh/109004847.htm,,Toyota Innova E,269.000.000 Ä‘,2013 - Sá»‘ sÃ n - 99 km
/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/108499623.htm,,Toyota Camry 2.4 LE 2008 Nháº­p Kháº©u Má»¹ SiÃªu Cá»p,347.000.000 Ä‘,2008 - Tá»± Ä‘á»™ng - 110000 km
/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/109004835.htm,,Toyota Innova E 2.0MT 2021 ÄÄƒng KÃ½ T5/2022 NhÆ° Má»›i,608.000.000 Ä‘,2021 - Sá»‘ sÃ n - 46000 km
/mua-ban-oto-huyen-cu-chi-tp-ho-chi-minh/109004674.htm,,Innova E Xe Gia ÄÃ¬nh,299.000.000 Ä‘,2015 - Sá»‘ sÃ n - 87 km
/mua-ban-oto-quan-12-tp-ho-chi-minh/107259301.htm,,Toyota Ä‘áº§u bÃºa táº£i Van 6ngÆ°á»i/850k,178.000.000 Ä‘,trÆ°á»›c nÄƒm 1980 - Sá»‘ sÃ n - 123456 km
/mua-ban-oto-quan-ba-dinh-ha-noi/108381324.htm,,Toyota Corolla Altis 1.8 HEV sáº£n xuáº¥t 2022,798.000.000 Ä‘,2022 - Tá»± Ä‘á»™ng - 9000 km
